year,rank,rider,time,team,margin,winning_time_parts,finishing_time_parts,country
1963,3,josé pérez francés (esp),"+ 10' 14""",ferrys,"[0, 10, 14]","[113, 30, 5]","[113, 40, 19]",esp
1963,4,jean-claude lebaube (fra),"+ 11' 55""",saint-raphaël–gitane–r. geminiani,"[0, 11, 55]","[113, 30, 5]","[113, 41, 60]",fra
1963,5,armand desmet (bel),"+ 15' 00""",flandria–faema,"[0, 15, 0]","[113, 30, 5]","[113, 45, 5]",bel
1963,6,angelino soler (esp),"+ 15' 04""",flandria–faema,"[0, 15, 4]","[113, 30, 5]","[113, 45, 9]",esp
1963,7,renzo fontona (ita),"+ 15' 27""",ibac–molteni,"[0, 15, 27]","[113, 30, 5]","[113, 45, 32]",ita
1963,8,raymond poulidor (fra),"+ 16' 46""",mercier–bp–hutchinson,"[0, 16, 46]","[113, 30, 5]","[113, 46, 51]",fra
1963,9,hans junkermann (frg),"+ 18' 53""",wiel's–groene leeuw,"[0, 18, 53]","[113, 30, 5]","[113, 48, 58]",frg
1963,10,rik van looy (bel),"+ 19' 24""",g.b.c.–libertas,"[0, 19, 24]","[113, 30, 5]","[113, 49, 29]",bel
1963,11,henry anglade (fra),"+ 21' 39""",pelforth–sauvage–lejeune,"[0, 21, 39]","[113, 30, 5]","[113, 51, 44]",fra
1963,12,fernando manzaneque (esp),"+ 22' 30""",ferrys,"[0, 22, 30]","[113, 30, 5]","[113, 52, 35]",esp
1963,13,eddy pauwels (bel),"+ 25' 03""",wiel's–groene leeuw,"[0, 25, 3]","[113, 30, 5]","[113, 55, 8]",bel
1963,14,francisco gabica (esp),"+ 26' 44""",kas–kaskol,"[0, 26, 44]","[113, 30, 5]","[113, 56, 49]",esp
1963,15,dieter puschel (frg),"+ 28' 20""",wiel's–groene leeuw,"[0, 28, 20]","[113, 30, 5]","[113, 58, 25]",frg
1963,16,alan ramsbottom (gbr),"+ 30' 36""",pelforth–sauvage–lejeune,"[0, 30, 36]","[113, 30, 5]","[113, 60, 41]",gbr
1963,17,michel pacheco (esp),"+ 31' 36""",kas–kaskol,"[0, 31, 36]","[113, 30, 5]","[113, 61, 41]",esp
1963,18,graziano battistini (ita),+ 32' 06,ibac–molteni,"[0, 32, 6]","[113, 30, 5]","[113, 62, 11]",ita
1963,19,françois mahé (fra),"+ 33' 50""",pelforth–sauvage–lejeune,"[0, 33, 50]","[113, 30, 5]","[113, 63, 55]",fra
1963,20,jean gainche (fra),"+ 35' 38""",mercier–bp–hutchinson,"[0, 35, 38]","[113, 30, 5]","[113, 65, 43]",fra
1963,21,ferdinand bracke (bel),"+ 39' 52""",peugeot–bp–englebert,"[0, 39, 52]","[113, 30, 5]","[113, 69, 57]",bel
1963,22,victor van schil (bel),"+ 41' 05""",mercier–bp–hutchinson,"[0, 41, 5]","[113, 30, 5]","[113, 71, 10]",bel
1963,23,jos hoevenaers (bel),"+ 42' 22""",peugeot–bp–englebert,"[0, 42, 22]","[113, 30, 5]","[113, 72, 27]",bel
1963,24,albertus geldermans (ned),"+ 43' 02""",saint-raphaël–gitane–r. geminiani,"[0, 43, 2]","[113, 30, 5]","[113, 73, 7]",ned
1963,25,frans brands (bel),"+ 45' 00""",flandria–faema,"[0, 45, 0]","[113, 30, 5]","[113, 75, 5]",bel
1963,26,henri duez (fra),"+ 49' 21""",peugeot–bp–englebert,"[0, 49, 21]","[113, 30, 5]","[113, 79, 26]",fra
1963,27,rogelio hernández (esp),"+ 54' 22""",ferrys,"[0, 54, 22]","[113, 30, 5]","[113, 84, 27]",esp
1963,28,jean dotto (fra),"+ 55' 07""",margnat–paloma–dunlop,"[0, 55, 7]","[113, 30, 5]","[113, 85, 12]",fra
1963,29,antonio gómez del moral (esp),"+ 55' 41""",flandria–faema,"[0, 55, 41]","[113, 30, 5]","[113, 85, 46]",esp
1963,30,robert cazala (fra),"+ 56' 42""",mercier–bp–hutchinson,"[0, 56, 42]","[113, 30, 5]","[113, 86, 47]",fra
1963,31,gérard thiélin (fra),"+ 57' 14""",saint-raphaël–gitane–r. geminiani,"[0, 57, 14]","[113, 30, 5]","[113, 87, 19]",fra
1963,32,esteban martín (esp),"+ 1h 02' 50""",ferrys,"[1, 2, 50]","[113, 30, 5]","[114, 32, 55]",esp
1963,33,henri dewolf (bel),"+ 1h 03' 28""",solo–terrot,"[1, 3, 28]","[113, 30, 5]","[114, 33, 33]",bel
1963,34,dick enthoven (ned),"+ 1h 05' 26""",pelforth–sauvage–lejeune,"[1, 5, 26]","[113, 30, 5]","[114, 35, 31]",ned
1963,35,antonio bertrán (esp),"+ 1h 07' 26""",ferrys,"[1, 7, 26]","[113, 30, 5]","[114, 37, 31]",esp
1963,36,sebastián elorza (esp),"+ 1h 08' 35""",kas–kaskol,"[1, 8, 35]","[113, 30, 5]","[114, 38, 40]",esp
1963,37,guy ignolin (fra),"+ 1h 09' 15""",saint-raphaël–gitane–r. geminiani,"[1, 9, 15]","[113, 30, 5]","[114, 39, 20]",fra
1963,38,luis otaño (esp),"+ 1h 09' 40""",margnat–paloma–dunlop,"[1, 9, 40]","[113, 30, 5]","[114, 39, 45]",esp
1963,39,ludo janssens (bel),"+ 1h 10' 37""",g.b.c.–libertas,"[1, 10, 37]","[113, 30, 5]","[114, 40, 42]",bel
1963,40,gabriel mas (esp),"+ 1h 12' 25""",ferrys,"[1, 12, 25]","[113, 30, 5]","[114, 42, 30]",esp
1963,41,emilio cruz (esp),"+ 1h 16' 46""",ferrys,"[1, 16, 46]","[113, 30, 5]","[114, 46, 51]",esp
1963,42,frans aerenhouts (bel),"+ 1h 20' 41""",g.b.c.–libertas,"[1, 20, 41]","[113, 30, 5]","[114, 50, 46]",bel
1963,43,antonio suárez (esp),"+ 1h 22' 10""",flandria–faema,"[1, 22, 10]","[113, 30, 5]","[114, 52, 15]",esp
1963,44,gilbert desmet (bel),"+ 1h 25' 01""",wiel's–groene leeuw,"[1, 25, 1]","[113, 30, 5]","[114, 55, 6]",bel
1963,45,van tongerloo (bel),"+ 1h 26' 54""",g.b.c.–libertas,"[1, 26, 54]","[113, 30, 5]","[114, 56, 59]",bel
1963,46,juan campillo (esp),"+ 1h 27' 34""",margnat–paloma–dunlop,"[1, 27, 34]","[113, 30, 5]","[114, 57, 39]",esp
1963,47,pierre beuffeuil (fra),"+ 1h 27' 53""",mercier–bp–hutchinson,"[1, 27, 53]","[113, 30, 5]","[114, 57, 58]",fra
1963,48,guy epaud (fra),"+ 1h 29' 26""",pelforth–sauvage–lejeune,"[1, 29, 26]","[113, 30, 5]","[114, 59, 31]",fra
1963,49,benoni beheyt (bel),"+ 1h 31' 28""",wiel's–groene leeuw,"[1, 31, 28]","[113, 30, 5]","[114, 61, 33]",bel
1963,50,valentín uriona (esp),"+ 1h 32' 05""",kas–kaskol,"[1, 32, 5]","[113, 30, 5]","[114, 62, 10]",esp
1963,51,georges groussard (fra),"+ 1h 32' 08""",pelforth–sauvage–lejeune,"[1, 32, 8]","[113, 30, 5]","[114, 62, 13]",fra
1963,52,claude mattio (fra),"+ 1h 32' 20""",margnat–paloma–dunlop,"[1, 32, 20]","[113, 30, 5]","[114, 62, 25]",fra
1963,53,loris guernieri (ita),"+ 1h 33' 34""",carpano,"[1, 33, 34]","[113, 30, 5]","[114, 63, 39]",ita
1963,54,antonio karmany (esp),"+ 1h 35' 50""",ferrys,"[1, 35, 50]","[113, 30, 5]","[114, 65, 55]",esp
1963,55,antonio bailetti (ita),"+ 1h 36' 09""",carpano,"[1, 36, 9]","[113, 30, 5]","[114, 66, 14]",ita
1963,56,martin van geneugden (bel),"+ 1h 42' 39""",g.b.c.–libertas,"[1, 42, 39]","[113, 30, 5]","[114, 72, 44]",bel
1963,57,andré foucher (fra),"+ 1h 46' 41""",pelforth–sauvage–lejeune,"[1, 46, 41]","[113, 30, 5]","[114, 76, 46]",fra
1963,58,marcel ongenae (bel),"+ 1h 46' 41""",flandria–faema,"[1, 46, 41]","[113, 30, 5]","[114, 76, 46]",bel
1963,59,anatole novak (fra),"+ 1h 48' 24""",saint-raphaël–gitane–r. geminiani,"[1, 48, 24]","[113, 30, 5]","[114, 78, 29]",fra
1963,60,alfons hellemans (bel),"+ 1h 53' 09""",mercier–bp–hutchinson,"[1, 53, 9]","[113, 30, 5]","[114, 83, 14]",bel
1963,61,seamus elliott (irl),"+ 1h 54' 20""",saint-raphaël–gitane–r. geminiani,"[1, 54, 20]","[113, 30, 5]","[114, 84, 25]",irl
1963,62,joseph thomin (fra),"+ 1h 56' 31""",margnat–paloma–dunlop,"[1, 56, 31]","[113, 30, 5]","[114, 86, 36]",fra
1963,63,pierre everaert (fra),"+ 1h 58' 37""",saint-raphaël–gitane–r. geminiani,"[1, 58, 37]","[113, 30, 5]","[114, 88, 42]",fra
1963,64,joseph groussard (fra),"+ 2h 02' 08""",pelforth–sauvage–lejeune,"[2, 2, 8]","[113, 30, 5]","[115, 32, 13]",fra
1963,65,louis proost (bel),"+ 2h 02' 38""",solo–terrot,"[2, 2, 38]","[113, 30, 5]","[115, 32, 43]",bel
1963,66,raymond impanis (bel),"+ 2h 04' 50""",peugeot–bp–englebert,"[2, 4, 50]","[113, 30, 5]","[115, 34, 55]",bel
1963,67,emile daems (bel),"+ 2h 06' 46""",peugeot–bp–englebert,"[2, 6, 46]","[113, 30, 5]","[115, 36, 51]",bel
1963,68,jean milesi (fra),"+ 2h 10' 26""",mercier–bp–hutchinson,"[2, 10, 26]","[113, 30, 5]","[115, 40, 31]",fra
1963,69,robert lelangue (bel),"+ 2h 14' 47""",solo–terrot,"[2, 14, 47]","[113, 30, 5]","[115, 44, 52]",bel
1963,70,jean simon (bel),"+ 2h 17' 58""",peugeot–bp–englebert,"[2, 17, 58]","[113, 30, 5]","[115, 47, 63]",bel
1963,71,raúl rey (esp),"+ 2h 21' 17""",ferrys,"[2, 21, 17]","[113, 30, 5]","[115, 51, 22]",esp
1963,72,jean graczyk (fra),"+ 2h 22' 31""",margnat–paloma–dunlop,"[2, 22, 31]","[113, 30, 5]","[115, 52, 36]",fra
1963,73,roger de breucker (bel),"+ 2h 22' 42""",solo–terrot,"[2, 22, 42]","[113, 30, 5]","[115, 52, 47]",bel
1963,74,august verhaegen (bel),"+ 2h 26' 00""",mercier–bp–hutchinson,"[2, 26, 0]","[113, 30, 5]","[115, 56, 5]",bel
1963,75,julio san emeterio (esp),"+ 2h 28' 19""",ferrys,"[2, 28, 19]","[113, 30, 5]","[115, 58, 24]",esp
1963,76,willy derboven (bel),"+ 2h 45' 10""",g.b.c.–libertas,"[2, 45, 10]","[113, 30, 5]","[115, 75, 15]",bel
1964,1,jacques anquetil (fra),"127h 09' 44""",saint-raphaël–gitane–dunlop,"[0, 0, 0]","[127, 9, 44]","[127, 9, 44]",fra
1964,2,raymond poulidor (fra),"+ 55""",mercier–bp–hutchinson,"[0, 0, 55]","[127, 9, 44]","[127, 9, 99]",fra
1964,3,federico bahamontes (esp),"+ 4' 44""",margnat–paloma–dunlop,"[0, 4, 44]","[127, 9, 44]","[127, 13, 88]",esp
1964,4,henry anglade (fra),"+ 6' 42""",pelforth–sauvage–lejeune,"[0, 6, 42]","[127, 9, 44]","[127, 15, 86]",fra
1964,5,georges groussard (fra),"+ 10' 34""",pelforth–sauvage–lejeune,"[0, 10, 34]","[127, 9, 44]","[127, 19, 78]",fra
1964,6,andré foucher (fra),"+ 10' 36""",pelforth–sauvage–lejeune,"[0, 10, 36]","[127, 9, 44]","[127, 19, 80]",fra
1964,7,julio jiménez (esp),"+ 12' 13""",kas–kaskol,"[0, 12, 13]","[127, 9, 44]","[127, 21, 57]",esp
1964,8,gilbert desmet (bel),"+ 12' 17""",wiel's–groene leeuw,"[0, 12, 17]","[127, 9, 44]","[127, 21, 61]",bel
1964,9,hans junkermann (frg),"+ 14' 02""",wiel's–groene leeuw,"[0, 14, 2]","[127, 9, 44]","[127, 23, 46]",frg
1964,10,vittorio adorni (ita),"+ 14' 19""",salvarani,"[0, 14, 19]","[127, 9, 44]","[127, 23, 63]",ita
1964,11,esteban martín (esp),"+ 25' 11""",margnat–paloma–dunlop,"[0, 25, 11]","[127, 9, 44]","[127, 34, 55]",esp
1964,12,fernando manzaneque (esp),"+ 32' 09""",ferrys,"[0, 32, 9]","[127, 9, 44]","[127, 41, 53]",esp
1964,13,francisco gabica (esp),"+ 41' 47""",kas–kaskol,"[0, 41, 47]","[127, 9, 44]","[127, 50, 91]",esp
1964,14,tom simpson (gbr),"+ 41' 50""",peugeot–bp–englebert,"[0, 41, 50]","[127, 9, 44]","[127, 50, 94]",gbr
1964,15,rudi altig (frg),"+ 42' 08""",saint-raphaël–gitane–dunlop,"[0, 42, 8]","[127, 9, 44]","[127, 51, 52]",frg
1964,16,karl-heinz kunde (frg),"+ 42' 16""",wiel's–groene leeuw,"[0, 42, 16]","[127, 9, 44]","[127, 51, 60]",frg
1964,17,joachin galera (esp),"+ 43' 47""",kas–kaskol,"[0, 43, 47]","[127, 9, 44]","[127, 52, 91]",esp
1964,18,henri duez (fra),"+ 46' 16""",peugeot–bp–englebert,"[0, 46, 16]","[127, 9, 44]","[127, 55, 60]",fra
1964,19,joseph novales (fra),"+ 48' 49""",margnat–paloma–dunlop,"[0, 48, 49]","[127, 9, 44]","[127, 57, 93]",fra
1964,20,eddy pauwels (bel),"+ 50' 02""",margnat–paloma–dunlop,"[0, 50, 2]","[127, 9, 44]","[127, 59, 46]",bel
1964,21,arnaldo pambianco (ita),"+ 52' 00""",salvarani,"[0, 52, 0]","[127, 9, 44]","[127, 61, 44]",ita
1964,22,louis rostollan (fra),"+ 55' 06""",saint-raphaël–gitane–dunlop,"[0, 55, 6]","[127, 9, 44]","[127, 64, 50]",fra
1964,23,sebastián elorza (esp),"+ 55' 14""",kas–kaskol,"[0, 55, 14]","[127, 9, 44]","[127, 64, 58]",esp
1964,24,jan janssen (ned),"+ 59' 31""",pelforth–sauvage–lejeune,"[0, 59, 31]","[127, 9, 44]","[127, 68, 75]",ned
1964,25,battista babini (ita),"+ 1h 05' 24""",salvarani,"[1, 5, 24]","[127, 9, 44]","[128, 14, 68]",ita
1964,26,rogelio hernández (esp),"+ 1h 08' 16""",ferrys,"[1, 8, 16]","[127, 9, 44]","[128, 17, 60]",esp
1964,27,claude mattio (fra),"+ 1h 13' 45""",margnat–paloma–dunlop,"[1, 13, 45]","[127, 9, 44]","[128, 22, 89]",fra
1964,28,raymond mastrotto (fra),"+ 1h 16' 34""",peugeot–bp–englebert,"[1, 16, 34]","[127, 9, 44]","[128, 25, 78]",fra
1964,29,paul vermeulen (fra),"+ 1h 18' 50""",mercier–bp–hutchinson,"[1, 18, 50]","[127, 9, 44]","[128, 27, 94]",fra
1964,30,willy monty (bel),"+ 1h 23' 26""",pelforth–sauvage–lejeune,"[1, 23, 26]","[127, 9, 44]","[128, 32, 70]",bel
1964,31,jean gainche (fra),"+ 1h 28' 20""",mercier–bp–hutchinson,"[1, 28, 20]","[127, 9, 44]","[128, 37, 64]",fra
1964,32,victor van schil (bel),"+ 1h 30' 13""",mercier–bp–hutchinson,"[1, 30, 13]","[127, 9, 44]","[128, 39, 57]",bel
1964,33,edouard sels (bel),"+ 1h 31' 35""",solo–superia,"[1, 31, 35]","[127, 9, 44]","[128, 40, 79]",bel
1964,34,guy epaud (fra),"+ 1h 33' 12""",pelforth–sauvage–lejeune,"[1, 33, 12]","[127, 9, 44]","[128, 42, 56]",fra
1964,35,jean stablinski (fra),"+ 1h 34' 10""",saint-raphaël–gitane–dunlop,"[1, 34, 10]","[127, 9, 44]","[128, 43, 54]",fra
1964,36,andré zimmerman (fra),"+ 1h 37' 52""",saint-raphaël–gitane–dunlop,"[1, 37, 52]","[127, 9, 44]","[128, 46, 96]",fra
1964,37,hubertus zilverberg (ned),"+ 1h 41' 30""",flandria–romeo,"[1, 41, 30]","[127, 9, 44]","[128, 50, 74]",ned
1964,38,albertus geldermans (ned),"+ 1h 46' 24""",saint-raphaël–gitane–dunlop,"[1, 46, 24]","[127, 9, 44]","[128, 55, 68]",ned
1964,39,cees haast (ned),"+ 1h 47' 44""",televizier,"[1, 47, 44]","[127, 9, 44]","[128, 56, 88]",ned
1964,40,gilbert de smet (bel),"+ 1h 48' 12""",wiel's–groene leeuw,"[1, 48, 12]","[127, 9, 44]","[128, 57, 56]",bel
1964,41,juan uribezubia (esp),"+ 1h 49' 33""",kas–kaskol,"[1, 49, 33]","[127, 9, 44]","[128, 58, 77]",esp
1964,42,camille vyncke (bel),"+ 2h 00' 17""",flandria–romeo,"[2, 0, 17]","[127, 9, 44]","[129, 9, 61]",bel
1964,43,jo de roo (ned),"+ 2h 00' 23""",saint-raphaël–gitane–dunlop,"[2, 0, 23]","[127, 9, 44]","[129, 9, 67]",ned
1964,44,luis otaño (esp),"+ 2h 01' 11""",ferrys,"[2, 1, 11]","[127, 9, 44]","[129, 10, 55]",esp
1964,45,josé segú (esp),"+ 2h 01' 34""",margnat–paloma–dunlop,"[2, 1, 34]","[127, 9, 44]","[129, 10, 78]",esp
1964,46,antonio franchi (ita),"+ 2h 03' 28""",salvarani,"[2, 3, 28]","[127, 9, 44]","[129, 12, 72]",ita
1964,47,robert poulot (fra),"+ 2h 06' 26""",mercier–bp–hutchinson,"[2, 6, 26]","[127, 9, 44]","[129, 15, 70]",fra
1964,48,bruno fantinato (ita),"+ 2h 06' 35""",salvarani,"[2, 6, 35]","[127, 9, 44]","[129, 15, 79]",ita
1964,49,benoni beheyt (bel),"+ 2h 08' 07""",wiel's–groene leeuw,"[2, 8, 7]","[127, 9, 44]","[129, 17, 51]",bel
1964,50,italo mazzacurati (ita),"+ 2h 08' 08""",salvarani,"[2, 8, 8]","[127, 9, 44]","[129, 17, 52]",ita
1964,51,edouard delberghe (bel),"+ 2h 09' 40""",pelforth–sauvage–lejeune,"[2, 9, 40]","[127, 9, 44]","[129, 18, 84]",bel
1964,52,martín piñera (esp),"+ 2h 11' 03""",kas–kaskol,"[2, 11, 3]","[127, 9, 44]","[129, 20, 47]",esp
1964,53,guillaume van tongerloo (bel),"+ 2h 15' 34""",flandria–romeo,"[2, 15, 34]","[127, 9, 44]","[129, 24, 78]",bel
1964,54,hubert ferrer (fra),"+ 2h 15' 59""",pelforth–sauvage–lejeune,"[2, 15, 59]","[127, 9, 44]","[129, 24, 103]",fra
1964,55,antonio bertrán (esp),"+ 2h 18' 38""",ferrys,"[2, 18, 38]","[127, 9, 44]","[129, 27, 82]",esp
1964,56,michael wright (gbr),"+ 2h 19' 08""",wiel's–groene leeuw,"[2, 19, 8]","[127, 9, 44]","[129, 28, 52]",gbr
1964,57,bernard vandekerkhove (bel),"+ 2h 21' 29""",solo–superia,"[2, 21, 29]","[127, 9, 44]","[129, 30, 73]",bel
1964,58,michel van aerde (bel),"+ 2h 21' 57""",solo–superia,"[2, 21, 57]","[127, 9, 44]","[129, 30, 101]",bel
1964,59,robert cazala (fra),"+ 2h 24' 21""",mercier–bp–hutchinson,"[2, 24, 21]","[127, 9, 44]","[129, 33, 65]",fra
1964,60,jo de haan (ned),"+ 2h 25' 47""",televizier,"[2, 25, 47]","[127, 9, 44]","[129, 34, 91]",ned
1964,61,edgard sorgeloos (bel),"+ 2h 30' 22""",solo–superia,"[2, 30, 22]","[127, 9, 44]","[129, 39, 66]",bel
1964,62,mario minieri (ita),"+ 2h 31' 29""",salvarani,"[2, 31, 29]","[127, 9, 44]","[129, 40, 73]",ita
1964,63,pierre everaert (fra),"+ 2h 32' 09""",saint-raphaël–gitane–dunlop,"[2, 32, 9]","[127, 9, 44]","[129, 41, 53]",fra
1964,64,rik wauters (ned),"+ 2h 34' 06""",televizier,"[2, 34, 6]","[127, 9, 44]","[129, 43, 50]",ned
1964,65,barry hoban (gbr),"+ 2h 38' 48""",mercier–bp–hutchinson,"[2, 38, 48]","[127, 9, 44]","[129, 47, 92]",gbr
1964,66,hank nijdam (ned),"+ 2h 41' 02""",televizier,"[2, 41, 2]","[127, 9, 44]","[129, 50, 46]",ned
1964,67,andré darrigade (fra),"+ 2h 41' 09""",margnat–paloma–dunlop,"[2, 41, 9]","[127, 9, 44]","[129, 50, 53]",fra
1964,68,willy derboven (bel),"+ 2h 42' 09""",solo–superia,"[2, 42, 9]","[127, 9, 44]","[129, 51, 53]",bel
1964,69,camille le menn (fra),"+ 2h 47' 36""",peugeot–bp–englebert,"[2, 47, 36]","[127, 9, 44]","[129, 56, 80]",fra
1964,70,frans brands (bel),"+ 2h 48' 28""",flandria–romeo,"[2, 48, 28]","[127, 9, 44]","[129, 57, 72]",bel
1964,71,françois hamon (fra),"+ 2h 50' 23""",peugeot–bp–englebert,"[2, 50, 23]","[127, 9, 44]","[129, 59, 67]",fra
1964,72,vin denson (gbr),"+ 2h 57' 23""",solo–superia,"[2, 57, 23]","[127, 9, 44]","[129, 66, 67]",gbr
1964,73,antonio barrutia (esp),"+ 2h 57' 57""",kas–kaskol,"[2, 57, 57]","[127, 9, 44]","[129, 66, 101]",esp
1964,74,joseph groussard (fra),"+ 2h 59' 28""",pelforth–sauvage–lejeune,"[2, 59, 28]","[127, 9, 44]","[129, 68, 72]",fra
1964,75,frans aerenhouts (bel),"+ 3h 03' 06""",mercier–bp–hutchinson,"[3, 3, 6]","[127, 9, 44]","[130, 12, 50]",bel
1964,76,jean graczyk (fra),"+ 3h 04' 21""",margnat–paloma–dunlop,"[3, 4, 21]","[127, 9, 44]","[130, 13, 65]",fra
1964,77,jean milesi (fra),"+ 3h 07' 07""",margnat–paloma–dunlop,"[3, 7, 7]","[127, 9, 44]","[130, 16, 51]",fra
1964,78,jean-pierre genet (fra),"+ 3h 12' 55""",mercier–bp–hutchinson,"[3, 12, 55]","[127, 9, 44]","[130, 21, 99]",fra
1964,79,jean-baptiste claes (bel),"+ 3h 12' 57""",wiel's–groene leeuw,"[3, 12, 57]","[127, 9, 44]","[130, 21, 101]",bel
1964,80,salvador honrubia (esp),"+ 3h 17' 07""",ferrys,"[3, 17, 7]","[127, 9, 44]","[130, 26, 51]",esp
1964,81,anatole novak (fra),"+ 3h 19' 02""",saint-raphaël–gitane–dunlop,"[3, 19, 2]","[127, 9, 44]","[130, 28, 46]",fra
1965,1,felice gimondi (ita),"116h 42' 06""",salvarani,"[0, 0, 0]","[116, 42, 6]","[116, 42, 6]",ita
1965,2,raymond poulidor (fra),"+ 2' 40""",mercier–bp–hutchinson,"[0, 2, 40]","[116, 42, 6]","[116, 44, 46]",fra
1965,3,gianni motta (ita),"+ 9' 18""",molteni–ignis,"[0, 9, 18]","[116, 42, 6]","[116, 51, 24]",ita
1965,4,henry anglade (fra),"+ 12' 43""",pelforth–sauvage–lejeune,"[0, 12, 43]","[116, 42, 6]","[116, 54, 49]",fra
1965,5,jean-claude lebaube (fra),"+ 12' 56""",ford france–gitane,"[0, 12, 56]","[116, 42, 6]","[116, 54, 62]",fra
1965,6,josé pérez francés (esp),"+ 13' 15""",ferrys,"[0, 13, 15]","[116, 42, 6]","[116, 55, 21]",esp
1965,7,guido de rosso (ita),"+ 14' 48""",molteni–ignis,"[0, 14, 48]","[116, 42, 6]","[116, 56, 54]",ita
1965,8,frans brands (bel),"+ 17' 36""",flandria–romeo,"[0, 17, 36]","[116, 42, 6]","[116, 59, 42]",bel
1965,9,jan janssen (ned),"+ 17' 52""",pelforth–sauvage–lejeune,"[0, 17, 52]","[116, 42, 6]","[116, 59, 58]",ned
1965,10,francisco gabica (esp),"+ 19' 11""",kas–kaskol,"[0, 19, 11]","[116, 42, 6]","[116, 61, 17]",esp
1965,11,karl-heinz kunde (frg),"+ 19' 21""",wiel's–groene leeuw,"[0, 19, 21]","[116, 42, 6]","[116, 61, 27]",frg
1965,12,roger pingeon (fra),"+ 20' 32""",peugeot–bp–michelin,"[0, 20, 32]","[116, 42, 6]","[116, 62, 38]",fra
1965,13,valentín uriona (esp),"+ 24' 34""",kas–kaskol,"[0, 24, 34]","[116, 42, 6]","[116, 66, 40]",esp
1965,14,henri duez (fra),"+ 25' 07""",peugeot–bp–michelin,"[0, 25, 7]","[116, 42, 6]","[116, 67, 13]",fra
1965,15,renzo fontona (ita),"+ 25' 31""",molteni–ignis,"[0, 25, 31]","[116, 42, 6]","[116, 67, 37]",ita
1965,16,gilbert desmet 1 (bel),"+ 28' 04""",wiel's–groene leeuw,"[0, 28, 4]","[116, 42, 6]","[116, 70, 10]",bel
1965,17,andré zimmermann (fra),"+ 29' 35""",peugeot–bp–michelin,"[0, 29, 35]","[116, 42, 6]","[116, 71, 41]",fra
1965,18,andré foucher (fra),"+ 29' 53""",pelforth–sauvage–lejeune,"[0, 29, 53]","[116, 42, 6]","[116, 71, 59]",fra
1965,19,arnaldo pambianco (ita),"+ 32' 48""",salvarani,"[0, 32, 48]","[116, 42, 6]","[116, 74, 54]",ita
1965,20,louis rostollan (fra),"+ 34' 51""",ford france–gitane,"[0, 34, 51]","[116, 42, 6]","[116, 76, 57]",fra
1965,21,walter boucquet (bel),"+ 34' 52""",flandria–romeo,"[0, 34, 52]","[116, 42, 6]","[116, 76, 58]",bel
1965,22,angelino soler (esp),"+ 36' 36""",peugeot–bp–michelin,"[0, 36, 36]","[116, 42, 6]","[116, 78, 42]",esp
1965,23,julio jiménez (esp),"+ 36' 45""",kas–kaskol,"[0, 36, 45]","[116, 42, 6]","[116, 78, 51]",esp
1965,24,michael wright (gbr),"+ 40' 11""",wiel's–groene leeuw,"[0, 40, 11]","[116, 42, 6]","[116, 82, 17]",gbr
1965,25,fernando manzaneque (esp),"+ 40' 38""",ferrys,"[0, 40, 38]","[116, 42, 6]","[116, 82, 44]",esp
1965,26,sebastián elorza (esp),"+ 42' 00""",kas–kaskol,"[0, 42, 0]","[116, 42, 6]","[116, 84, 6]",esp
1965,27,ginés garcía (esp),"+ 43' 23""",margnat–paloma–inuri–dunlop,"[0, 43, 23]","[116, 42, 6]","[116, 85, 29]",esp
1965,28,hans junkermann (frg),"+ 43' 34""",margnat–paloma–inuri–dunlop,"[0, 43, 34]","[116, 42, 6]","[116, 85, 40]",frg
1965,29,rik wouters (ned),"+ 43' 45""",televizier,"[0, 43, 45]","[116, 42, 6]","[116, 85, 51]",ned
1965,30,luis otaño (esp),"+ 47' 07""",ferrys,"[0, 47, 7]","[116, 42, 6]","[116, 89, 13]",esp
1965,31,rik van looy (bel),"+ 47' 29""",solo–superia,"[0, 47, 29]","[116, 42, 6]","[116, 89, 35]",bel
1965,32,hubert harings (ned),"+ 47' 30""",televizier,"[0, 47, 30]","[116, 42, 6]","[116, 89, 36]",ned
1965,33,jean-louis bodin (fra),"+ 47' 49""",mercier–bp–hutchinson,"[0, 47, 49]","[116, 42, 6]","[116, 89, 55]",fra
1965,34,josé antonio momeñe (esp),"+ 46' 01""",kas–kaskol,"[0, 46, 1]","[116, 42, 6]","[116, 88, 7]",esp
1965,35,michel van aerde (bel),"+ 49' 16""",solo–superia,"[0, 49, 16]","[116, 42, 6]","[116, 91, 22]",bel
1965,36,giuseppe fezzardi (ita),"+ 50' 05""",molteni–ignis,"[0, 50, 5]","[116, 42, 6]","[116, 92, 11]",ita
1965,37,joaquin galera (esp),"+ 50' 55""",kas–kaskol,"[0, 50, 55]","[116, 42, 6]","[116, 92, 61]",esp
1965,38,raymond mastrotto (fra),"+ 52' 00""",margnat–paloma–inuri–dunlop,"[0, 52, 0]","[116, 42, 6]","[116, 94, 6]",fra
1965,39,georges vandenberghe (bel),"+ 52' 54""",flandria–romeo,"[0, 52, 54]","[116, 42, 6]","[116, 94, 60]",bel
1965,40,roger swerts (bel),"+ 53' 10""",mercier–bp–hutchinson,"[0, 53, 10]","[116, 42, 6]","[116, 95, 16]",bel
