year,date,stage,type,winner,miles,km,start,finish,winning_country,decade
1903,1903-07-01,1,plain stage,maurice garin,290.0,467.0,paris,lyon,fra,1900
1903,1903-07-05,2,mountain stage,hippolyte aucouturier,232.0,374.0,lyon,marseille,fra,1900
1903,1903-07-08,3,plain stage,hippolyte aucouturier,263.0,423.0,marseille,toulouse,fra,1900
1903,1903-07-12,4,plain stage,charles laeser,167.0,268.0,toulouse,bordeaux,sui,1900
1903,1903-07-13,5,plain stage,maurice garin,264.0,425.0,bordeaux,nantes,fra,1900
1903,1903-07-18,6,plain stage,maurice garin,293.0,471.0,nantes,paris,fra,1900
1904,1904-07-02,1,plain stage,maurice garin,290.0,467.0,montgeron,lyon,fra,1900
1904,1904-07-09,2,mountain stage,hippolyte aucouturier,232.0,374.0,lyon,marseille,fra,1900
1904,1904-07-13,3,plain stage,hippolyte aucouturier,263.0,424.0,marseille,toulouse,fra,1900
1904,1904-07-17,4,plain stage,lucien pothier,167.0,268.0,toulouse,bordeaux,fra,1900
1904,1904-07-20,5,plain stage,hippolyte aucouturier,264.0,425.0,bordeaux,nantes,fra,1900
1904,1904-07-23,6,plain stage,hippolyte aucouturier,293.0,471.0,nantes,paris,fra,1900
1905,1905-07-09,1,plain stage,louis trousselier,210.0,340.0,paris,nancy,fra,1900
1905,1905-07-11,2,mountain stage,hippolyte aucouturier,186.0,299.0,nancy,besançon,fra,1900
1905,1905-07-14,3,plain stage,louis trousselier,203.0,327.0,besançon,grenoble,fra,1900
1905,1905-07-16,4,mountain stage,hippolyte aucouturier,216.0,348.0,grenoble,toulon,fra,1900
1905,1905-07-18,5,plain stage,louis trousselier,119.0,192.0,toulon,nîmes,fra,1900
1905,1905-07-20,6,plain stage,jean-baptiste dortignacq,191.0,307.0,nîmes,toulouse,fra,1900
1905,1905-07-22,7,plain stage,louis trousselier,167.0,268.0,toulouse,bordeaux,fra,1900
1905,1905-07-24,8,plain stage,hippolyte aucouturier,160.0,257.0,bordeaux,la rochelle,fra,1900
1905,1905-07-26,9,plain stage,louis trousselier,163.0,263.0,la rochelle,rennes,fra,1900
1905,1905-07-28,10,plain stage,jean-baptiste dortignacq,104.0,167.0,rennes,caen,fra,1900
1905,1905-07-29,11,plain stage,jean-baptiste dortignacq,157.0,253.0,caen,paris,fra,1900
1906,1906-07-04,1,plain stage,emile georget,171.0,275.0,paris,lille,fra,1900
1906,1906-07-06,2,plain stage,rené pottier,250.0,400.0,douai,nancy,fra,1900
1906,1906-07-08,3,mountain stage,rené pottier,258.0,416.0,nancy,dijon,fra,1900
1906,1906-07-10,4,plain stage,rené pottier,193.0,311.0,dijon,grenoble,fra,1900
1906,1906-07-12,5,mountain stage,rené pottier,214.0,345.0,grenoble,nice,fra,1900
1906,1906-07-14,6,plain stage,georges passerieu,181.0,292.0,nice,marseille,fra,1900
1906,1906-07-16,7,plain stage,louis trousselier,300.0,480.0,marseille,toulouse,fra,1900
1906,1906-07-18,8,plain stage,jean-baptiste dortignacq,190.0,300.0,toulouse,bayonne,fra,1900
1906,1906-07-20,9,plain stage,louis trousselier,210.0,338.0,bayonne,bordeaux,fra,1900
1906,1906-07-22,10,plain stage,louis trousselier,243.0,391.0,bordeaux,nantes,fra,1900
1906,1906-07-24,11,plain stage,louis trousselier,199.0,321.0,nantes,brest,fra,1900
1906,1906-07-26,12,plain stage,georges passerieu,258.0,415.0,brest,caen,fra,1900
1906,1906-07-29,13,plain stage,rené pottier,161.0,259.0,caen,paris,fra,1900
1907,1907-07-08,1,plain stage,louis trousselier,169.0,272.0,paris,roubaix,fra,1900
1907,1907-07-10,2,plain stage,emile georget,247.0,398.0,roubaix,metz,fra,1900
1907,1907-07-12,3,mountain stage,emile georget,161.0,259.0,metz,belfort,fra,1900
1907,1907-07-14,4,mountain stage,marcel cadolle,192.0,309.0,belfort,lyon,fra,1900
1907,1907-07-16,5,mountain stage,emile georget,193.0,311.0,lyon,grenoble,fra,1900
1907,1907-07-18,6,mountain stage,georges passerieu,214.0,345.0,grenoble,nice,fra,1900
1907,1907-07-20,7,plain stage,emile georget,214.0,345.0,nice,nîmes,fra,1900
1907,1907-07-22,8,plain stage,emile georget,188.0,303.0,nîmes,toulouse,fra,1900
1907,1907-07-24,9,plain stage,lucien petit-breton,186.0,299.0,toulouse,bayonne,fra,1900
1907,1907-07-26,10,plain stage,gustave garrigou,167.0,269.0,bayonne,bordeaux,fra,1900
1907,1907-07-28,11,plain stage,lucien petit-breton,243.0,391.0,bordeaux,nantes,fra,1900
1907,1907-07-30,12,plain stage,gustave garrigou,199.0,321.0,nantes,brest,fra,1900
1907,1907-08-01,13,plain stage,emile georget,258.0,415.0,brest,caen,fra,1900
1907,1907-08-04,14,plain stage,georges passerieu,156.0,251.0,caen,paris,fra,1900
1908,1908-07-13,1,plain stage,georges passerieu,169.0,272.0,paris,roubaix,fra,1900
1908,1908-07-15,2,plain stage,lucien petit-breton,247.0,398.0,roubaix,metz,fra,1900
1908,1908-07-17,3,mountain stage,françois faber,161.0,259.0,metz,belfort,lux,1900
1908,1908-07-19,4,mountain stage,françois faber,192.0,309.0,belfort,lyon,lux,1900
1908,1908-07-21,5,mountain stage,georges passerieu,193.0,311.0,lyon,grenoble,fra,1900
1908,1908-07-23,6,mountain stage,jean-baptiste dortignacq,214.0,345.0,grenoble,nice,fra,1900
1908,1908-07-25,7,plain stage,lucien petit-breton,220.0,354.0,nice,nîmes,fra,1900
1908,1908-07-27,8,plain stage,françois faber,188.0,303.0,nîmes,toulouse,lux,1900
1908,1908-07-29,9,plain stage,lucien petit-breton,186.0,299.0,toulouse,bayonne,fra,1900
1908,1908-07-31,10,plain stage,georges paulmier,167.0,269.0,bayonne,bordeaux,fra,1900
1908,1908-08-02,11,plain stage,lucien petit-breton,243.0,391.0,bordeaux,nantes,fra,1900
1908,1908-08-04,12,plain stage,françois faber,199.0,321.0,nantes,brest,lux,1900
1908,1908-08-06,13,plain stage,georges passerieu,258.0,415.0,brest,caen,fra,1900
1908,1908-08-09,14,plain stage,lucien petit-breton,156.0,251.0,caen,paris,fra,1900
1909,1909-07-05,1,plain stage,cyrille van hauwaert,169.0,272.0,paris,roubaix,bel,1900
1909,1909-07-07,2,plain stage,françois faber,247.0,398.0,roubaix,metz,lux,1900
1909,1909-07-09,3,mountain stage,françois faber,161.0,259.0,metz,belfort,lux,1900
1909,1909-07-11,4,mountain stage,françois faber,192.0,309.0,belfort,lyon,lux,1900
1909,1909-07-13,5,mountain stage,françois faber,193.0,311.0,lyon,grenoble,lux,1900
1909,1909-07-15,6,mountain stage,françois faber,215.0,346.0,grenoble,nice,lux,1900
1909,1909-07-17,7,plain stage,ernest paul,214.0,345.0,nice,nîmes,fra,1900
1909,1909-07-19,8,plain stage,jean alavoine,188.0,303.0,nîmes,toulouse,fra,1900
1909,1909-07-21,9,plain stage,constant ménager,186.0,299.0,toulouse,bayonne,fra,1900
1909,1909-07-23,10,plain stage,françois faber,167.0,269.0,bayonne,bordeaux,lux,1900
1909,1909-07-25,11,plain stage,louis trousselier,243.0,391.0,bordeaux,nantes,fra,1900
1909,1909-07-27,12,plain stage,gustave garrigou,199.0,321.0,nantes,brest,fra,1900
1909,1909-07-29,13,plain stage,paul duboc,263.0,424.0,brest,caen,fra,1900
1909,1909-08-01,14,plain stage,jean alavoine,160.0,250.0,caen,paris,fra,1900
1910,1910-07-03,1,plain stage,charles crupelandt,167.0,269.0,paris,roubaix,fra,1910
1910,1910-07-05,2,plain stage,françois faber,247.0,398.0,roubaix,metz,lux,1910
1910,1910-07-07,3,mountain stage,emile georget,161.0,259.0,metz,belfort,fra,1910
1910,1910-07-09,4,mountain stage,françois faber,192.0,309.0,belfort,lyon,lux,1910
1910,1910-07-11,5,mountain stage,octave lapize,193.0,311.0,lyon,grenoble,fra,1910
1910,1910-07-13,6,mountain stage,julien maitron,214.0,345.0,grenoble,nice,fra,1910
1910,1910-07-15,7,plain stage,françois faber,214.0,345.0,nice,nîmes,lux,1910
1910,1910-07-17,8,plain stage,georges paulmier,134.0,216.0,nîmes,perpignan,fra,1910
1910,1910-07-19,9,mountain stage,octave lapize,180.0,289.0,perpignan,luchon,fra,1910
1910,1910-07-21,10,mountain stage,octave lapize,203.0,326.0,luchon,bayonne,fra,1910
1910,1910-07-23,11,plain stage,ernest paul,167.0,269.0,bayonne,bordeaux,fra,1910
1910,1910-07-25,12,plain stage,louis trousselier,243.0,391.0,bordeaux,nantes,fra,1910
1910,1910-07-27,13,plain stage,gustave garrigou,199.0,321.0,nantes,brest,fra,1910
1910,1910-07-29,14,plain stage,octave lapize,263.0,424.0,brest,caen,fra,1910
1910,1910-07-31,15,plain stage,ernesto azzini,163.0,262.0,caen,paris,ita,1910
1911,1911-07-02,1,plain stage,gustave garrigou,218.0,351.0,paris,dunkerque,fra,1910
1911,1911-07-04,2,plain stage,jules masselis,241.0,388.0,dunkerque,longwy,bel,1910
1911,1911-07-06,3,mountain stage,françois faber,206.0,331.0,longwy,belfort,lux,1910
1911,1911-07-08,4,mountain stage,charles crupelandt,214.0,344.0,belfort,chamonix,fra,1910
1911,1911-07-10,5,mountain stage,émile georget,227.0,366.0,chamonix,grenoble,fra,1910
1911,1911-07-12,6,mountain stage,françois faber,216.0,348.0,grenoble,nice,lux,1910
1911,1911-07-14,7,mountain stage,charles crupelandt,208.0,334.0,nice,marseille,fra,1910
1911,1911-07-16,8,plain stage,paul duboc,208.0,335.0,marseille,perpignan,fra,1910
1911,1911-07-18,9,mountain stage,paul duboc,180.0,289.0,perpignan,luchon,fra,1910
1911,1911-07-20,10,mountain stage,maurice brocco,203.0,326.0,luchon,bayonne,fra,1910
1911,1911-07-22,11,plain stage,paul duboc,235.0,379.0,bayonne,la rochelle,fra,1910
1911,1911-07-23,12,plain stage,marcel godivier,290.0,470.0,la rochelle,brest,fra,1910
1911,1911-07-26,13,plain stage,gustave garrigou,252.0,405.0,brest,cherbourg-en-cotentin,fra,1910
1911,1911-07-28,14,plain stage,paul duboc,224.0,361.0,cherbourg,le havre,fra,1910
1911,1911-07-30,15,plain stage,marcel godivier,197.0,317.0,le havre,paris,fra,1910
1912,1912-06-30,1,plain stage,charles crupelandt,218.0,351.0,paris,dunkerque,fra,1910
1912,1912-07-02,2,plain stage,odile defraye,241.0,388.0,dunkerque,longwy,bel,1910
1912,1912-07-04,3,mountain stage,eugène christophe,206.0,331.0,longwy,belfort,fra,1910
1912,1912-07-06,4,mountain stage,eugène christophe,214.0,344.0,belfort,chamonix,fra,1910
1912,1912-07-08,5,mountain stage,eugène christophe,227.0,366.0,chamonix,grenoble,fra,1910
1912,1912-07-10,6,mountain stage,octave lapize,201.0,323.0,grenoble,nice,fra,1910
1912,1912-07-12,7,mountain stage,odile defraye,208.0,334.0,nice,marseille,bel,1910
1912,1912-07-14,8,plain stage,vicenzo borgarello,208.0,335.0,marseille,perpignan,ita,1910
1912,1912-07-16,9,mountain stage,odile defraye,180.0,289.0,perpignan,luchon,bel,1910
1912,1912-07-18,10,mountain stage,louis mottiat,203.0,326.0,luchon,bayonne,bel,1910
1912,1912-07-20,11,plain stage,jean alavoine,235.0,379.0,bayonne,la rochelle,fra,1910
1912,1912-07-21,12,plain stage,louis heusghem,290.0,470.0,la rochelle,brest,bel,1910
1912,1912-07-24,13,plain stage,jean alavoine,252.0,405.0,brest,cherbourg-en-cotentin,fra,1910
1912,1912-07-26,14,plain stage,vicenzo borgarello,224.0,361.0,cherbourg,le havre,ita,1910
1912,1912-07-28,15,plain stage,jean alavoine,197.0,317.0,le havre,paris,fra,1910
1913,1913-06-29,1,plain stage,giovanni micheletto,241.0,388.0,paris,le havre,ita,1910
1913,1913-07-01,2,plain stage,jules masselis,226.0,364.0,le havre,cherbourg-en-cotentin,bel,1910
1913,1913-07-03,3,plain stage,henri pelissier,252.0,405.0,cherbourg,brest,fra,1910
1913,1913-07-05,4,plain stage,marcel buysse,290.0,470.0,brest,la rochelle,bel,1910
1913,1913-07-07,5,plain stage,henri van lerberghe,235.0,379.0,la rochelle,bayonne,bel,1910
1913,1913-07-09,6,mountain stage,philippe thys,203.0,326.0,bayonne,luchon,bel,1910
1913,1913-07-11,7,mountain stage,marcel buysse,201.0,324.0,luchon,perpignan,bel,1910
1913,1913-07-13,8,plain stage,gustave garrigou,202.0,325.0,perpignan,aix-en-provence,fra,1910
1913,1913-07-15,9,mountain stage,firmin lambot,221.0,356.0,aix-en-provence,nice,bel,1910
1913,1913-07-17,10,mountain stage,francois faber,207.0,333.0,nice,grenoble,lux,1910
1913,1913-07-19,11,mountain stage,marcel buysse,202.0,325.0,grenoble,geneva,bel,1910
1913,1913-07-21,12,mountain stage,marcel buysse,208.0,335.0,geneva,belfort,bel,1910
1913,1913-07-23,13,mountain stage,françois faber,202.0,325.0,belfort,longwy,lux,1910
1913,1913-07-25,14,plain stage,marcel buysse,244.0,393.0,longwy,dunkerque,bel,1910
1913,1913-07-27,15,plain stage,marcel buysse,210.0,340.0,dunkerque,paris,bel,1910
1914,1914-06-28,1,plain stage,philippe thys,241.0,388.0,paris,le havre,bel,1910
1914,1914-06-30,2,plain stage,jean rossius,226.0,364.0,le havre,cherbourg-en-cotentin,bel,1910
1914,1914-07-02,3,plain stage,emile engel,252.0,405.0,cherbourg,brest,fra,1910
1914,1914-07-04,4,plain stage,oscar egg,290.0,470.0,brest,la rochelle,sui,1910
1914,1914-07-06,5,plain stage,oscar egg,234.0,376.0,la rochelle,bayonne,sui,1910
1914,1914-07-08,6,mountain stage,firmin lambot,203.0,326.0,bayonne,luchon,bel,1910
1914,1914-07-10,7,mountain stage,jean alavoine,201.0,323.0,luchon,perpignan,fra,1910
1914,1914-07-12,8,plain stage,octave lapize,230.0,370.0,perpignan,marseille,fra,1910
1914,1914-07-14,9,mountain stage,jean rossius,210.0,338.0,marseille,nice,bel,1910
1914,1914-07-16,10,mountain stage,henri pélissier,201.0,323.0,nice,grenoble,fra,1910
1914,1914-07-18,11,mountain stage,gustave garrigou,202.0,325.0,grenoble,geneva,fra,1910
1914,1914-07-20,12,mountain stage,henri pélissier,202.0,325.0,geneva,belfort,fra,1910
1914,1914-07-22,13,mountain stage,françois faber,202.0,325.0,belfort,longwy,lux,1910
1914,1914-07-24,14,plain stage,françois faber,240.0,390.0,longwy,dunkerque,lux,1910
1914,1914-07-26,15,plain stage,henri pélissier,210.0,340.0,dunkerque,paris,fra,1910
1919,1919-06-29,1,plain stage,jean rossius,241.0,388.0,paris,le havre,bel,1910
1919,1919-07-01,2,plain stage,henri pélissier,226.0,364.0,le havre,cherbourg-en-cotentin,fra,1910
1919,1919-07-03,3,plain stage,francis pélissier,252.0,405.0,cherbourg,brest,fra,1910
1919,1919-07-05,4,plain stage,jean alavoine,256.0,412.0,brest,les sables-d'olonne,fra,1910
1919,1919-07-07,5,plain stage,jean alavoine,300.0,482.0,les sables-d'olonne,bayonne,fra,1910
1919,1919-07-09,6,mountain stage,honore barthelemy,203.0,326.0,bayonne,luchon,fra,1910
1919,1919-07-11,7,mountain stage,jean alavoine,201.0,323.0,luchon,perpignan,fra,1910
1919,1919-07-13,8,plain stage,jean alavoine,230.0,370.0,perpignan,marseille,fra,1910
1919,1919-07-15,9,mountain stage,honoré barthélemy,210.0,338.0,marseille,nice,fra,1910
1919,1919-07-17,10,mountain stage,honoré barthélemy,207.0,333.0,nice,grenoble,fra,1910
1919,1919-07-19,11,mountain stage,honoré barthélemy,202.0,325.0,grenoble,geneva,fra,1910
1919,1919-07-21,12,mountain stage,luigi lucotti,231.0,371.0,geneva,strasbourg,ita,1910
1919,1919-07-23,13,plain stage,luigi lucotti,196.0,315.0,strasbourg,metz,ita,1910
1919,1919-07-25,14,plain stage,firmin lambot,291.0,468.0,metz,dunkerque,bel,1910
1919,1919-07-27,15,plain stage,jean alavoine,210.0,340.0,dunkerque,paris,fra,1910
1920,1920-06-27,1,plain stage,louis mottiat,241.0,388.0,paris,le havre,bel,1920
1920,1920-06-29,2,plain stage,philippe thys,226.0,364.0,le havre,cherbourg-en-cotentin,bel,1920
1920,1920-07-01,3,plain stage,henri pélissier,252.0,405.0,cherbourg,brest,fra,1920
1920,1920-07-03,4,plain stage,henri pélissier,256.0,412.0,brest,les sables d'olonne,fra,1920
1920,1920-07-05,5,plain stage,firmin lambot,300.0,482.0,les sables d'olonne,bayonne,bel,1920
1920,1920-07-07,6,mountain stage,firmin lambot,203.0,326.0,bayonne,luchon,bel,1920
1920,1920-07-09,7,mountain stage,jean rossius,201.0,323.0,luchon,perpignan,bel,1920
1920,1920-07-11,8,plain stage,louis heusghem,202.0,325.0,perpignan,aix-en-provence,bel,1920
1920,1920-07-14,9,mountain stage,philippe thys,221.0,356.0,aix-en-provence,nice,bel,1920
1920,1920-07-16,10,mountain stage,hector heusghem,207.0,333.0,nice,grenoble,bel,1920
1920,1920-07-18,11,mountain stage,léon scieur,225.0,362.0,grenoble,gex,bel,1920
1920,1920-07-20,12,plain stage,philippe thys,220.0,354.0,gex,strasbourg,bel,1920
1920,1920-07-22,13,plain stage,philippe thys,190.0,300.0,strasbourg,metz,bel,1920
1920,1920-07-24,14,plain stage,félix goethals,269.0,433.0,metz,dunkerque,fra,1920
1920,1920-07-27,15,plain stage,jean rossius,210.0,340.0,dunkerque,paris,bel,1920
1921,1921-06-26,1,plain stage,louis mottiat,241.0,388.0,paris,le havre,bel,1920
1921,1921-06-28,2,plain stage,romain bellenger,226.0,364.0,le havre,cherbourg-en-cotentin,fra,1920
1921,1921-06-30,3,plain stage,leon scieur,252.0,405.0,cherbourg,brest,bel,1920
1921,1921-07-02,4,plain stage,louis mottiat,256.0,412.0,brest,les sables-d'olonne,bel,1920
1921,1921-07-04,5,plain stage,louis mottiat,300.0,482.0,les sables-d'olonne,bayonne,bel,1920
1921,1921-07-06,6,mountain stage,hector heusghem,203.0,326.0,bayonne,luchon,bel,1920
1921,1921-07-08,7,mountain stage,louis mottiat,201.0,323.0,luchon,perpignan,bel,1920
1921,1921-07-10,8,plain stage,luigi lucotti,255.0,411.0,perpignan,toulon,ita,1920
1921,1921-07-12,9,mountain stage,firmin lambot,169.0,272.0,toulon,nice,bel,1920
1921,1921-07-14,10,mountain stage,leon scieur,207.0,333.0,nice,grenoble,bel,1920
1921,1921-07-16,11,mountain stage,félix goethals,202.0,325.0,grenoble,geneva,fra,1920
1921,1921-07-18,12,plain stage,honoré barthélemy,231.0,371.0,geneva,strasbourg,fra,1920
1921,1921-07-20,13,plain stage,félix sellier,190.0,300.0,strasbourg,metz,bel,1920
1921,1921-07-22,14,plain stage,félix goethals,269.0,433.0,metz,dunkerque,fra,1920
1921,1921-07-24,15,plain stage,félix goethals,210.0,340.0,dunkerque,paris,fra,1920
1922,1922-06-25,1,plain stage,robert jacquinot,241.0,388.0,paris,le havre,fra,1920
1922,1922-06-27,2,plain stage,romain bellenger,226.0,364.0,le havre,cherbourg-en-cotentin,fra,1920
1922,1922-06-29,3,plain stage,robert jacquinot,252.0,405.0,cherbourg,brest,fra,1920
1922,1922-07-01,4,plain stage,philippe thys,256.0,412.0,brest,les sables d'olonne,bel,1920
1922,1922-07-03,5,plain stage,jean alavoine,300.0,482.0,les sables d'olonne,bayonne,fra,1920
1922,1922-07-05,6,mountain stage,jean alavoine,203.0,326.0,bayonne,luchon,fra,1920
1922,1922-07-07,7,mountain stage,jean alavoine,201.0,323.0,luchon,perpignan,fra,1920
1922,1922-07-09,8,plain stage,philippe thys,255.0,411.0,perpignan,toulon,bel,1920
1922,1922-07-11,9,mountain stage,philippe thys,176.0,284.0,toulon,nice,bel,1920
1922,1922-07-13,10,mountain stage,philippe thys,170.0,274.0,nice,briançon,bel,1920
1922,1922-07-15,11,mountain stage,emile masson,160.0,260.0,briançon,geneva,bel,1920
1922,1922-07-17,12,plain stage,emile masson,231.0,371.0,geneva,strasbourg,bel,1920
1922,1922-07-19,13,plain stage,federico gay,190.0,300.0,strasbourg,metz,ita,1920
1922,1922-07-21,14,plain stage,félix sellier,269.0,433.0,metz,dunkerque,bel,1920
1922,1922-07-23,15,plain stage,philippe thys,210.0,340.0,dunkerque,paris,bel,1920
1923,1923-06-24,1,plain stage,robert jacquinot,237.0,381.0,paris,le havre,fra,1920
1923,1923-06-26,2,plain stage,ottavio bottecchia,231.0,371.0,le havre,cherbourg-en-cotentin,ita,1920
1923,1923-06-28,3,plain stage,henri pélissier,252.0,405.0,cherbourg,brest,fra,1920
1923,1923-06-30,4,plain stage,albert dejonghe,256.0,412.0,brest,les sables d'olonne,bel,1920
1923,1923-07-02,5,plain stage,robert jacquinot,300.0,482.0,les sables d'olonne,bayonne,fra,1920
1923,1923-07-04,6,mountain stage,jean alavoine,203.0,326.0,bayonne,luchon,fra,1920
1923,1923-07-06,7,mountain stage,jean alavoine,201.0,323.0,luchon,perpignan,fra,1920
1923,1923-07-08,8,plain stage,lucien buysse,265.0,427.0,perpignan,toulon,bel,1920
1923,1923-07-10,9,mountain stage,jean alavoine,175.0,281.0,toulon,nice,fra,1920
1923,1923-07-12,10,mountain stage,henri pélissier,171.0,275.0,nice,briançon,fra,1920
1923,1923-07-14,11,mountain stage,henri pélissier,160.0,260.0,briançon,geneva,fra,1920
1923,1923-07-16,12,plain stage,joseph muller,234.0,377.0,geneva,strasbourg,fra,1920
1923,1923-07-18,13,plain stage,romain bellenger,190.0,300.0,strasbourg,metz,fra,1920
1923,1923-07-20,14,plain stage,félix goethals,269.0,433.0,metz,dunkerque,fra,1920
1923,1923-07-22,15,plain stage,félix goethals,213.0,343.0,dunkerque,paris,fra,1920
1924,1924-06-22,1,plain stage,ottavio bottecchia,237.0,381.0,paris,le havre,ita,1920
1924,1924-06-24,2,plain stage,romain bellenger,231.0,371.0,le havre,cherbourg-en-cotentin,fra,1920
1924,1924-06-26,3,plain stage,philippe thys,252.0,405.0,cherbourg,brest,bel,1920
1924,1924-06-28,4,plain stage,félix goethals,256.0,412.0,brest,les sables-d'olonne,fra,1920
1924,1924-06-30,5,plain stage,omer huyse,300.0,482.0,les sables-d'olonne,bayonne,bel,1920
1924,1924-07-02,6,mountain stage,ottavio bottecchia,203.0,326.0,bayonne,luchon,ita,1920
1924,1924-07-04,7,mountain stage,ottavio bottecchia,201.0,323.0,luchon,perpignan,ita,1920
1924,1924-07-06,8,plain stage,louis mottiat,265.0,427.0,perpignan,toulon,bel,1920
1924,1924-07-08,9,mountain stage,philippe thys,170.0,280.0,toulon,nice,bel,1920
1924,1924-07-10,10,mountain stage,giovanni brunero,171.0,275.0,nice,briançon,ita,1920
1924,1924-07-12,11,mountain stage,nicolas frantz,191.0,307.0,briançon,gex,lux,1920
1924,1924-07-14,12,mountain stage,nicolas frantz,220.0,360.0,gex,strasbourg,lux,1920
1924,1924-07-16,13,plain stage,arsène alancourt,190.0,300.0,strasbourg,metz,fra,1920
1924,1924-07-18,14,plain stage,romain bellenger,269.0,433.0,metz,dunkerque,fra,1920
1924,1924-07-20,15,plain stage,ottavio bottecchia,213.0,343.0,dunkerque,paris,ita,1920
1925,1925-06-21,1,plain stage,ottavio bottecchia,210.0,340.0,paris,le havre,ita,1920
1925,1925-06-23,2,plain stage,romain bellenger,231.0,371.0,le havre,cherbourg,fra,1920
1925,1925-06-25,3,plain stage,louis mottiat,252.0,405.0,cherbourg,brest,bel,1920
1925,1925-06-26,4,plain stage,nicolas frantz,129.0,208.0,brest,vannes,lux,1920
1925,1925-06-27,5,plain stage,nicolas frantz,127.0,204.0,vannes,les sables-d'olonne,lux,1920
1925,1925-06-28,6,plain stage,ottavio bottecchia,182.0,293.0,les sables-d'olonne,bordeaux,ita,1920
1925,1925-06-29,7,plain stage,ottavio bottecchia,117.0,189.0,bordeaux,bayonne,ita,1920
1925,1925-07-01,8,mountain stage,adelin benoît,203.0,326.0,bayonne,luchon,bel,1920
1925,1925-07-03,9,mountain stage,nicolas frantz,201.0,323.0,luchon,perpignan,lux,1920
1925,1925-07-04,10,plain stage,theophile beeckman,134.0,215.0,perpignan,nîmes,bel,1920
1925,1925-07-05,11,plain stage,lucien buysse,134.0,215.0,nîmes,toulon,bel,1920
1925,1925-07-07,12,mountain stage,lucien buysse,170.0,280.0,toulon,nice,bel,1920
1925,1925-07-09,13,mountain stage,bartolomeo aimo,171.0,275.0,nice,briançon,ita,1920
1925,1925-07-11,14,mountain stage,hector martin,188.0,303.0,briançon,evian,bel,1920
1925,1925-07-13,15,mountain stage,nicolas frantz,232.0,373.0,evian,mulhouse,lux,1920
1925,1925-07-15,16,plain stage,hector martin,208.0,334.0,mulhouse,metz,bel,1920
1925,1925-07-17,17,plain stage,hector martin,269.0,433.0,metz,dunkerque,bel,1920
1925,1925-07-19,18,plain stage,ottavio bottecchia,213.0,343.0,dunkerque,paris,ita,1920
1926,1926-06-20,1,plain stage,jules buysse,232.0,373.0,evian,mülhausen,bel,1920
1926,1926-06-22,2,plain stage,aimé dossche,208.0,334.0,mülhausen,metz,bel,1920
1926,1926-06-24,3,plain stage,gustaaf van slembrouck,269.0,433.0,metz,dunkerque,bel,1920
1926,1926-06-26,4,plain stage,félix sellier,224.0,361.0,dunkerque,le havre,bel,1920
1926,1926-06-28,5,plain stage,adelin benoit,222.0,357.0,le havre,cherbourg-en-cotentin,bel,1920
1926,1926-06-30,6,plain stage,joseph van dam,252.0,405.0,cherbourg,brest,bel,1920
1926,1926-07-02,7,plain stage,nicolas frantz,256.0,412.0,brest,les sables d'olonne,lux,1920
1926,1926-07-03,8,plain stage,joseph van dam,177.0,285.0,les sables d'olonne,bordeaux,bel,1920
1926,1926-07-04,9,plain stage,nicolas frantz,117.0,189.0,bordeaux,bayonne,lux,1920
1926,1926-07-06,10,mountain stage,lucien buysse,203.0,326.0,bayonne,luchon,bel,1920
1926,1926-07-08,11,mountain stage,lucien buysse,201.0,323.0,luchon,perpignan,bel,1920
1926,1926-07-10,12,plain stage,nicolas frantz,265.0,427.0,perpignan,toulon,lux,1920
1926,1926-07-12,13,plain stage,nicolas frantz,170.0,280.0,toulon,nice,lux,1920
1926,1926-07-14,14,mountain stage,bartolomeo aimo,171.0,275.0,nice,briançon,ita,1920
1926,1926-07-16,15,mountain stage,joseph van dam,188.0,303.0,briançon,evian,bel,1920
1926,1926-07-17,16,plain stage,camille van de casteele,199.0,321.0,evian,dijon,bel,1920
1926,1926-07-18,17,plain stage,aimé dossche,212.0,341.0,dijon,paris,bel,1920
1927,1927-06-19,1,time trial,francis pélissier,110.0,180.0,paris,dieppe,fra,1920
1927,1927-06-20,2,time trial,maurice dewaele,64.0,103.0,dieppe,le havre,bel,1920
1927,1927-06-21,3,time trial,hector martin,140.0,225.0,le havre,caen,bel,1920
1927,1927-06-22,4,time trial,camille van de casteele,87.0,140.0,caen,cherbourg-en-cotentin,bel,1920
1927,1927-06-23,5,time trial,ferdinand le drogo,124.0,199.0,cherbourg,dinan,fra,1920
1927,1927-06-24,6,time trial,andré leducq,128.0,206.0,dinan,brest,fra,1920
1927,1927-06-25,7,time trial,gustaaf van slembrouck,129.0,207.0,brest,vannes,bel,1920
1927,1927-06-26,8,time trial,raymond decorte,127.0,204.0,vannes,les sables d'olonne,bel,1920
1927,1927-06-27,9,time trial,adelin benoit,177.0,285.0,les sables d'olonne,bordeaux,bel,1920
1927,1927-06-28,10,plain stage,pé verhaegen,117.0,189.0,bordeaux,bayonne,bel,1920
1927,1927-06-30,11,mountain stage,nicolas frantz,203.0,326.0,bayonne,luchon,lux,1920
1927,1927-07-02,12,mountain stage,gustaaf van slembrouck,201.0,323.0,luchon,perpignan,bel,1920
1927,1927-07-04,13,plain stage,maurice dewaele,220.0,360.0,perpignan,marseille,bel,1920
1927,1927-07-05,14,time trial,antonin magne,75.0,120.0,marseille,toulon,fra,1920
